City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,geraldton,-28.7667,114.6,18.23,77,36,5.66,AU,1698593090
181,flin flon,54.7682,-101.865,-5.09,74,100,3.6,CA,1698593090
182,hafnarfjordur,64.0671,-21.9377,6.93,53,0,1.03,IS,1698593090
183,sola,-13.8833,167.55,25.95,80,14,4.71,VU,1698593091
184,basoko,1.2391,23.616,28.58,65,81,0.94,CD,1698593091
185,kyzyl-suu,42.3414,78.0056,10.31,52,85,2.81,KG,1698593091
186,la'ie,21.6477,-157.9253,23.57,79,6,3.32,US,1698593091
187,iskateley,67.6803,53.1512,-8.88,86,100,5.81,RU,1698593091
188,turpan,42.9333,89.1667,15.46,38,80,0.75,CN,1698593092
189,racine,42.7495,-88.0751,5.73,81,100,4.63,US,1698592800
190,bengkulu,-3.8004,102.2655,23.6,91,28,2.31,ID,1698593092
191,jamaame,0.0697,42.745,27.22,73,22,4.62,SO,1698593092
192,sao vicente,-23.9631,-46.3919,33.1,59,100,4.47,BR,1698592966
193,shingu,33.7333,135.9833,11.19,80,0,2.89,JP,1698593093
194,vadstena,58.4486,14.8897,4.96,80,100,8.16,SE,1698592825
195,pirai do sul,-24.5261,-49.9486,23.83,88,91,3.99,BR,1698593093
196,bovril,-31.3431,-59.4451,29.95,49,2,4.75,AR,1698593093
197,blairgowrie,56.5916,-3.3405,10.01,53,100,3.58,GB,1698593093
198,villa canas,-34.0057,-61.6076,17.43,85,100,5.87,AR,1698593094
199,marsabit,2.3284,37.9899,18.06,86,100,1.46,KE,1698593094
200,rouissat,31.9243,5.3502,35.04,10,40,7.2,DZ,1698593094
201,hasaki,35.7333,140.8333,13.22,61,18,8.97,JP,1698593094
202,phan rang-thap cham,11.5667,108.9833,25.3,91,82,1.98,VN,1698593095
203,pedernales,18.0384,-71.744,29.24,67,55,1.36,DO,1698593095
204,akureyri,65.6835,-18.0878,0.96,80,0,0.51,IS,1698593095
205,ilebo,-4.3167,20.5833,31.45,55,75,1.43,CD,1698593095
206,fomboni,-12.28,43.7425,26.86,81,12,6.83,KM,1698593096
207,bac lieu,9.285,105.7244,27.01,84,100,3.89,VN,1698593096
208,kone,-21.0595,164.8658,18.76,75,33,1.88,NC,1698593096
209,luohe,33.5717,114.0353,19.24,54,0,3.22,CN,1698593096
210,kholmsk,47.0511,142.0569,1.94,76,13,1.44,RU,1698593097
211,sinabang,2.4803,96.3801,25.85,84,100,1.7,ID,1698593097
212,tahe,52.3333,124.7333,0.27,76,100,1.51,CN,1698593097
213,verkhnevilyuysk,63.4453,120.3167,-10.86,89,51,2.85,RU,1698593097
214,mykolaiv,49.5237,23.9852,14.17,73,35,2.95,UA,1698593097
215,jamestown,42.097,-79.2353,7.51,98,100,3.6,US,1698593057
216,esmeraldas,-19.7625,-44.3139,32.63,45,92,3.48,BR,1698593098
217,trincomalee,8.5711,81.2335,28.01,73,100,3.52,LK,1698593098
218,kailua-kona,19.6406,-155.9956,24.17,79,20,1.79,US,1698593098
219,bridgewater,44.3835,-64.5155,10.79,62,100,5.14,CA,1698593099
220,talnakh,69.4865,88.3972,-20.78,96,64,1.11,RU,1698593099
221,antsiranana,-12.2787,49.2917,27.42,69,20,6.17,MG,1698593099
222,shalqar,47.8333,59.6,15.41,67,97,7.93,KZ,1698593099
223,barentu,15.1139,37.5928,26.77,50,39,2.06,ER,1698593100
224,lagos,6.5833,3.75,33.18,60,64,1.39,NG,1698592969
225,egilsstadir,65.2653,-14.3948,0.95,100,75,1.03,IS,1698593100
226,itoman,26.1247,127.6694,23.01,60,1,3.6,JP,1698593100
227,kuala belait,4.5833,114.1833,26.09,85,79,1.43,BN,1698593101
228,copala,16.65,-98.9833,27.42,74,58,1.04,MX,1698593101
229,kruisfontein,-34.0033,24.7314,14.57,47,5,6.79,ZA,1698593101
230,trujillo,-8.116,-79.03,20.98,78,83,5.14,PE,1698593101
231,remire-montjoly,4.9167,-52.2667,33.02,55,20,4.63,GF,1698592904
232,andergrove,-21.0833,149.1833,15.91,65,23,2.52,AU,1698593102
233,waddan,29.1614,16.139,30.53,16,5,2.97,LY,1698593102
234,cidade velha,14.9167,-23.6167,29.26,58,75,6.17,CV,1698593103
235,yeraliyev,43.2,51.65,19.66,48,90,5.4,KZ,1698593103
236,minas de marcona,-15.2119,-75.1103,19.67,64,89,6.17,PE,1698593104
237,kavieng,-2.5744,150.7967,27.09,81,24,4.78,PG,1698593104
238,sao raimundo nonato,-9.0153,-42.6994,36.11,22,51,4.83,BR,1698593104
239,ayorou,14.7308,0.9174,38.7,10,83,2.55,NE,1698593105
240,gerash,27.6652,54.1371,26.08,35,89,2.58,IR,1698593105
241,palmer,42.1584,-72.3287,9.36,81,100,4.63,US,1698593105
242,coquimbo,-29.9533,-71.3436,18.85,55,0,4.12,CL,1698593105
243,faya-largeau,17.9257,19.1043,36.94,8,0,4.12,TD,1698593106
244,kudahuvadhoo,2.6708,72.8944,28.16,77,97,7.5,MV,1698593106
245,vila franca do campo,37.7167,-25.4333,18.27,99,56,6.4,PT,1698593106
246,callao,-12.0667,-77.15,22.16,73,20,7.72,PE,1698593106
247,ancud,-41.8697,-73.8203,8.14,52,96,8.32,CL,1698593107
248,hithadhoo,-0.6,73.0833,27.09,79,100,7.68,MV,1698593107
249,tosontsengel,48.7567,98.2839,-2.03,32,100,1.57,MN,1698592877
250,constantia,44.1833,28.65,20.39,57,0,3.4,RO,1698593107
251,rikaze,29.25,88.8833,7.41,40,100,3.15,CN,1698593108
252,hammerfest,70.6634,23.6821,-3.75,80,20,1.54,NO,1698593108
253,porto belo,-27.1578,-48.5531,30.65,86,82,2.72,BR,1698593108
254,fada,9.5667,8.3,32.69,28,44,2.73,NG,1698593109
255,puerto baquerizo moreno,-0.9,-89.6,26.55,74,40,6.69,EC,1698592947
256,fort st. john,56.2499,-120.8529,-9.06,92,75,2.57,CA,1698593109
257,kuching,1.55,110.3333,26.1,97,40,0.0,MY,1698593109
258,belmonte,-15.8631,-38.8828,28.45,56,86,4.92,BR,1698593110
259,san pedro pochutla,15.7333,-96.4667,28.84,62,24,1.29,MX,1698593110
260,saudarkrokur,65.7461,-19.6394,0.51,76,17,2.12,IS,1698593110
261,iquique,-20.2208,-70.1431,22.02,68,47,4.14,CL,1698593111
262,bannu,32.9854,70.6027,26.31,32,56,0.74,PK,1698593111
263,chunian,30.964,73.9803,25.98,28,2,2.52,PK,1698593111
264,holualoa,19.6228,-155.9522,22.1,81,20,1.79,US,1698593111
265,divnogorsk,55.9594,92.3619,-10.7,92,11,0.93,RU,1698593112
266,goyerkata,26.6998,89.0257,21.44,72,1,1.54,IN,1698593112
267,panaba,21.2833,-88.2667,29.91,53,0,3.05,MX,1698593112
268,cooma,-36.2333,149.1333,9.9,42,90,2.48,AU,1698593112
269,sao paulo de olivenca,-3.3783,-68.8725,32.95,55,100,1.22,BR,1698593113
270,mount isa,-20.7333,139.5,22.87,46,90,1.03,AU,1698593113
271,badger,64.8,-147.5333,-5.91,88,100,0.0,US,1698593113
272,champerico,14.3,-91.9167,29.3,79,97,0.77,GT,1698593113
273,mili,6.0815,171.735,28.58,77,100,6.44,MH,1698593114
274,el calafate,-50.3408,-72.2768,4.1,46,44,4.02,AR,1698593114
275,uray,60.1247,64.7758,-6.18,69,96,2.68,RU,1698593114
276,naranjal,-2.6667,-79.6167,24.92,89,100,0.75,EC,1698593114
277,yamada,39.4667,141.95,13.08,83,100,5.23,JP,1698593114
278,ta`u,-14.2336,-169.5144,26.97,79,62,5.58,AS,1698593115
279,puerto armuelles,8.2833,-82.8667,26.99,87,75,3.13,PA,1698593115
280,chinde,26.8418,88.0763,14.53,80,26,2.15,NP,1698593115
281,ust'-ilimsk,58.0006,102.6619,-3.64,56,98,5.36,RU,1698593116
282,ca mau,9.1769,105.15,25.32,93,100,2.03,VN,1698593116
283,ballina,-28.8667,153.5667,13.21,79,44,2.31,AU,1698593116
284,nar'yan-mar,67.6713,53.087,-8.83,86,100,5.81,RU,1698593117
285,ericeira,38.9627,-9.4156,21.3,83,100,2.8,PT,1698593117
286,pocora,10.1718,-83.6044,30.91,81,99,1.1,CR,1698593117
287,campo gallo,-26.5833,-62.85,36.85,34,0,2.9,AR,1698593117
288,alice springs,-23.7,133.8833,21.75,11,82,3.09,AU,1698593118
289,happy valley-goose bay,53.3168,-60.3315,2.17,48,75,18.52,CA,1698593118
290,rongelap,11.1635,166.8941,28.36,72,91,9.32,MH,1698592877
291,yemva,62.59,50.8594,-3.87,93,100,3.66,RU,1698593118
292,san pedro,14.35,121.0167,27.95,82,20,3.58,PH,1698593119
293,sukumo,32.9333,132.7333,11.89,71,0,1.68,JP,1698593119
294,midvagur,62.0511,-7.1939,6.46,65,83,3.09,FO,1698593119
295,sandnessjoen,66.0217,12.6316,-0.71,86,20,1.03,NO,1698593119
296,buka,40.8108,69.1986,22.62,30,100,2.13,UZ,1698592871
297,praya,14.9215,-23.5087,29.3,58,75,6.17,CV,1698593120
298,xilin hot,43.9667,116.0333,1.69,43,35,3.19,CN,1698593121
299,icano,-28.9193,-65.3282,35.34,24,0,3.86,AR,1698593121
300,inarajan village,13.2736,144.7484,28.54,92,99,4.07,GU,1698593121
301,fallon,39.4735,-118.7774,-6.07,63,0,0.0,US,1698592914
302,cortez,37.3489,-108.5859,4.4,80,40,0.0,US,1698593122
303,mar del plata,-38.0023,-57.5575,16.2,69,100,3.53,AR,1698593122
304,san juan,-31.5375,-68.5364,31.35,7,0,1.36,AR,1698592986
305,egra,50.0796,12.3739,15.09,82,73,3.41,CZ,1698593123
306,nuuk,64.1835,-51.7216,-0.66,74,100,1.54,GL,1698593123
307,uturoa,-16.7333,-151.4333,26.26,78,13,7.16,PF,1698592861
308,pansoy,13.1825,122.5989,26.22,80,80,6.0,PH,1698592997
309,utrik,11.2278,169.8474,28.1,73,95,9.15,MH,1698593124
310,magadan,59.5667,150.8,-2.29,75,93,2.1,RU,1698592860
311,madera,37.1666,-119.8343,12.26,57,0,1.54,US,1698593125
312,klaksvik,62.2266,-6.589,6.51,68,75,11.36,FO,1698593125
313,maitum,6.0392,124.4986,25.26,86,30,2.01,PH,1698593125
314,acarau,-2.8856,-40.12,32.18,49,6,9.22,BR,1698593126
315,umarkot,25.3616,69.7362,31.32,23,0,2.35,PK,1698593126
316,berck-plage,50.407,1.5645,15.1,82,75,6.69,FR,1698593126
317,wuwei,37.9281,102.6414,12.04,26,50,2.41,CN,1698593126
318,longyearbyen,78.2186,15.6401,-3.09,86,75,3.6,SJ,1698592877
319,east london,-33.0153,27.9116,15.52,67,75,5.12,ZA,1698593127
320,sesvete,45.8311,16.1164,19.89,63,0,5.14,HR,1698593127
321,nueva villa de padilla,24.0167,-98.7833,26.61,61,4,5.07,MX,1698593127
322,selfoss,63.9331,-20.9971,1.69,62,16,3.02,IS,1698593127
323,labrador city,52.9463,-66.9114,-2.05,69,75,7.2,CA,1698593128
324,espiye,40.9479,38.7115,19.12,80,23,1.63,TR,1698593128
325,kerouane,9.2667,-9.0167,30.65,42,3,2.14,GN,1698593128
326,walvis bay,-22.9575,14.5053,17.51,69,31,3.13,NA,1698593129
327,coahuayana de hidalgo,18.7,-103.6583,27.63,79,34,1.28,MX,1698593129
328,mangai,-4.05,19.5333,31.42,50,75,0.93,CD,1698593129
329,moree,-29.4667,149.85,18.41,33,3,3.43,AU,1698593129
330,bontang,0.1333,117.5,27.63,72,45,1.06,ID,1698593130
331,omaruru,-21.4333,15.9333,35.37,3,0,5.91,NA,1698593130
